#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Profit,Comment,MagicNumber
135692206,2018.03.27 11:31,0,0.01,EURCHF,1.17668,0,0,2018.04.04 01:01,1.17604,-0.66,lsma_buy_50,20180326
135720710,2018.03.27 17:25,1,0.01,CHFJPY,111.345,0,0,2018.04.02 22:11,110.946,3.76,lsma_sell_50,20280326
135721839,2018.03.27 17:37,1,0.01,EURGBP,0.87565,0,0,2018.04.06 00:00,0.87434,1.83,lsma_sell_50,20280326
135721840,2018.03.27 17:37,1,0.01,EURGBP,0.87565,0,0,2018.04.25 15:02,0.87392,2.41,lsma_sell_25,20280327
135811167,2018.03.28 16:38,0,0.02,AUDCHF,0.73087,0,0,2018.04.03 15:05,0.73566,10.01,SIMPLE H4 2,23456
135811169,2018.03.28 16:38,0,0.01,USDCHF,0.95406,0,0,2018.04.04 10:57,0.95695,3.02,lsma_buy_50,20180326
135811175,2018.03.28 16:38,1,0.01,AUDUSD,0.76587,0,0,2018.04.25 15:02,0.75593,9.94,lsma_sell_25,20280327
135811177,2018.03.28 16:38,0,0.01,AUDCHF,0.73087,0,0,2018.04.03 17:27,0.73486,4.16,lsma_buy_50,20180326
135837349,2018.03.28 22:22,0,0.01,NZDJPY,76.991,0,0,2018.04.02 01:01,76.927,-0.6,lsma_buy_25,20180327
135852694,2018.03.29 06:27,0,0.01,CADJPY,82.515,0,0,2018.04.02 18:27,82.113,-3.79,lsma_buy_50,20180326
135878238,2018.03.29 14:46,0,0.01,AUDUSD,0.76844,0,0,2018.04.02 15:45,0.76706,-1.38,ROI_Break_Buy,20180322
135885801,2018.03.29 16:45,1,0.01,USDCHF,0.95524,0,0,2018.04.02 18:00,0.95503,0.22,ROI_Break_Sell,20280322
135886935,2018.03.29 17:00,1,0.01,EURCHF,1.177,0,0,2018.04.03 12:15,1.17576,1.3,ROI_Break_Sell,20280322
135898801,2018.03.29 20:00,1,0.02,EURCHF,1.1762,0,0,2018.04.04 17:16,1.1802,-8.34,SIMPLE H4 1,54321
135898802,2018.03.29 20:00,1,0.02,EURCHF,1.1762,0,0,2018.04.04 17:16,1.18022,-8.39,SIMPLE H4 2,65432
135903674,2018.03.29 21:45,0,0.01,AUDJPY,81.896,0,0,2018.04.02 17:00,81.54,-3.35,ROI_Break_Buy,20180322
135911187,2018.03.30 02:57,0,0.01,USDCAD,1.28911,0,0,2018.04.03 16:09,1.28378,-4.15,2LSMA-buy,20180331
135911292,2018.03.30 03:00,0,0.01,AUDJPY,81.873,0,0,2018.04.04 11:01,81.372,-4.72,2LSMA-buy,20180331
135913740,2018.03.30 04:00,0,0.01,USDJPY,106.3,0,0,2018.04.04 13:19,106.045,-2.4,2LSMA-buy,20180331
135913743,2018.03.30 04:00,0,0.01,CADJPY,82.487,0,0,2018.04.03 17:13,82.782,2.78,2LSMA-buy,20180331
135913747,2018.03.30 04:00,0,0.01,AUDCAD,0.99028,0,0,2018.04.02 15:14,0.9883,-1.53,2LSMA-buy,20180331
135918830,2018.03.30 07:11,1,0.01,EURNZD,1.70298,0,0,2018.04.02 12:00,1.70545,-1.79,2LSMA-sell,20280331
135919879,2018.03.30 08:00,1,0.04,EURUSD,1.23106,1.23056,1.19606,2018.04.04 11:11,1.23056,2,[sl],1000
135923141,2018.03.30 09:30,0,0.01,EURUSD,1.23217,0,0,2018.04.02 16:45,1.23242,0.25,ROI_Break_Buy,20180322
135932571,2018.03.30 15:01,1,0.01,AUDJPY,81.702,0,0,2018.04.02 22:20,81.109,5.59,lsma_sell_25,20280327
135932606,2018.03.30 15:03,1,0.01,NZDUSD,0.72378,0,0,2018.04.04 05:12,0.72883,-5.05,2LSMA-sell,20280331
135933726,2018.03.30 16:00,0,0.01,EURGBP,0.87734,0,0,2018.04.03 18:22,0.87227,-7.13,2LSMA-buy,20180331
135934558,2018.03.30 16:30,1,0.01,AUDCHF,0.73233,0,0,2018.04.03 15:15,0.73632,-4.17,ROI_Break_Sell,20280322
135934559,2018.03.30 16:30,0,0.01,CHFJPY,111.492,0,0,2018.04.02 17:45,111.418,-0.69,ROI_Break_Buy,20180322
135935307,2018.03.30 16:59,0,0.01,EURAUD,1.60436,0,0,2018.04.03 09:26,1.59931,-3.89,ROI_Break_Buy,20180322
135935530,2018.03.30 17:04,0,0.01,NZDCAD,0.93358,0,0,2018.04.02 01:32,0.9321,-1.15,lsma_buy_50,20180326
